Variable_1,Variable_2,Pearson_r,Spearman_rho,Distance_Corr,Pearson_Spearman_Gap,Involves_Target
03PIC_1068.PV,03TI_1081.PV,-0.4261,-0.4472,0.4732,0.0211,False
03FIC_1085.PV,03TI_1015.PV,0.3062,0.3268,0.3512,0.0206,False
03FIC_1085.PV,03TI_1024.PV,0.3142,0.334,0.3659,0.0198,False
03PI_1409.PV,03TIC_1009.PV,-0.2898,-0.2704,0.2907,0.0194,False
03PIC_1013.PV,03PIC_1068.PV,-0.4218,-0.4026,0.405,0.0192,False
03TIC_1009.PV,03TIC_1145.PV,-0.248,-0.2672,0.2704,0.0192,False
03PIC_1013.PV,03TI_1015.PV,0.5424,0.5611,0.5601,0.0187,False
03PIC_1013.PV,03TI_1024.PV,0.5382,0.5559,0.5623,0.0177,False
03FIC_1085.PV,03TIC_1145.PV,-0.2781,-0.2957,0.3273,0.0176,False
03PDI_1020.PV,03TI_1108.PV,0.2166,0.1992,0.225,0.0174,False
03LIC_1016.PV,03LIC_1034.PV,0.069,0.0518,0.0615,0.0172,False
03TIC_1145.PV,03TI_1002.PV,-0.0009,0.0161,0.0343,0.017,False
03LIC_1016.PV,03TI_1108.PV,0.0273,0.0104,0.0908,0.0169,False
03LIC_1034.PV,03PIC_1023.PV,0.0149,-0.0018,0.0198,0.0167,False
02FI_1000.PV,03TI_1005.PV,-0.0562,-0.04,0.0662,0.0162,False
03LIC_1034.PV,03TIC_1023.PV,0.0186,0.0029,0.0238,0.0157,True
03PIC_1068.PV,03TI_1024.PV,-0.1729,-0.1573,0.1728,0.0156,False
03FIC_1085.PV,03TI_1108.PV,0.4721,0.4874,0.5116,0.0153,False
03PIC_1023.PV,03TI_1015.PV,0.9796,0.9643,0.9648,0.0153,False
03PIC_1023.PV,03TI_1024.PV,0.9787,0.9635,0.9651,0.0152,False
02FI_1000.PV,03LIC_1016.PV,0.2184,0.2037,0.236,0.0147,False
03LIC_1034.PV,03TI_1015.PV,0.0167,0.0022,0.0218,0.0145,False
03LIC_1034.PV,03TI_1024.PV,0.0169,0.0027,0.0224,0.0142,False
03LIC_1016.PV,03PIC_1068.PV,-0.2209,-0.2073,0.2216,0.0136,False
02FI_1000.PV,03TI_1015.PV,0.1252,0.1116,0.1604,0.0136,False
03PI_1409.PV,03TIC_1145.PV,-0.0212,-0.0101,0.0903,0.0111,False
03TI_1015.PV,03TI_1024.PV,0.9896,0.9789,0.9799,0.0107,False
03FIC_1085.PV,03TI_1002.PV,0.3497,0.3598,0.3811,0.0101,False
03PIC_1068.PV,03TI_1015.PV,-0.1992,-0.1891,0.1919,0.0101,False
03PI_1409.PV,03TI_1005.PV,-0.3025,-0.2926,0.2887,0.0099,False
02FI_1000.PV,03TI_1024.PV,0.0905,0.0807,0.128,0.0098,False
03PDI_1020.PV,03TIC_1009.PV,0.2209,0.2299,0.2399,0.009,False
02FI_1000.PV,03TI_1002.PV,-0.0378,-0.0301,0.0608,0.0077,False
03TIC_1145.PV,03TI_1005.PV,-0.024,-0.0166,0.0358,0.0074,False
03PIC_1068.PV,03TIC_1023.PV,-0.2048,-0.2121,0.2146,0.0073,True
03LIC_1034.PV,03TI_1005.PV,0.004,-0.0033,0.0139,0.0073,False
03FIC_1085.PV,03PIC_1023.PV,0.2915,0.2985,0.342,0.007,False
03PI_1409.PV,03TI_1081.PV,-0.2038,-0.2107,0.2475,0.0069,False
03LIC_1016.PV,03TIC_1009.PV,-0.0073,-0.0139,0.0864,0.0066,False
03TIC_1009.PV,03TI_1108.PV,0.9304,0.9367,0.9103,0.0063,False
03LIC_1016.PV,03TI_1005.PV,0.0883,0.0946,0.0945,0.0063,False
03PIC_1068.PV,03TIC_1009.PV,-0.291,-0.2969,0.2912,0.0059,False
03FIC_1085.PV,03LIC_1016.PV,0.0598,0.0652,0.0749,0.0054,False
03TIC_1145.PV,03TI_1108.PV,-0.2359,-0.2306,0.2397,0.0053,False
03FIC_1085.PV,03TI_1005.PV,0.3899,0.3951,0.4289,0.0052,False
03LIC_1034.PV,03PI_1409.PV,0.0164,0.0216,0.0269,0.0052,False
03FIC_1085.PV,03LIC_1034.PV,0.0684,0.0644,0.0623,0.004,False
03LIC_1034.PV,03TI_1002.PV,-0.0174,-0.0212,0.0238,0.0038,False
02FI_1000.PV,03TIC_1023.PV,0.104,0.1073,0.1441,0.0033,True
03LIC_1016.PV,03PI_1409.PV,-0.063,-0.0661,0.0866,0.0031,False
03LIC_1016.PV,03TI_1002.PV,0.1083,0.111,0.1116,0.0027,False
03PI_1409.PV,03TI_1002.PV,-0.2757,-0.2738,0.2667,0.0019,False
03TI_1002.PV,03TI_1005.PV,0.9654,0.9648,0.9551,0.0006,False
03LIC_1016.PV,03PIC_1013.PV,0.0792,0.079,0.1248,0.0002,False
03PIC_1068.PV,03TI_1108.PV,-0.2888,-0.289,0.2918,0.0002,False
