Parameter,Start_Timestamp,End_Timestamp,Duration_Records,Duration_Minutes
02FI_1000.PV,2023-12-06 16:56:00,2023-12-06 16:56:00,1,0.0
02FI_1000.PV,2023-12-08 18:21:00,2023-12-08 18:21:00,1,0.0
02FI_1000.PV,2023-12-12 13:05:00,2023-12-12 13:05:00,1,0.0
02FI_1000.PV,2023-12-16 12:24:00,2023-12-16 12:24:00,1,0.0
02FI_1000.PV,2023-12-23 20:42:00,2023-12-23 20:42:00,1,0.0
02FI_1000.PV,2023-12-26 04:45:00,2023-12-26 04:45:00,1,0.0
02FI_1000.PV,2023-12-28 20:34:00,2023-12-28 20:34:00,1,0.0
02FI_1000.PV,2023-12-29 07:32:00,2023-12-29 07:32:00,1,0.0
02FI_1000.PV,2023-12-31 08:17:00,2023-12-31 08:17:00,1,0.0
02FI_1000.PV,2024-01-02 16:33:00,2024-01-02 16:33:00,1,0.0
02FI_1000.PV,2024-01-03 04:47:00,2024-01-03 04:47:00,1,0.0
02FI_1000.PV,2024-01-04 07:42:00,2024-01-04 07:42:00,1,0.0
02FI_1000.PV,2024-01-10 01:59:00,2024-01-10 01:59:00,1,0.0
02FI_1000.PV,2024-01-12 01:33:00,2024-01-12 01:33:00,1,0.0
02FI_1000.PV,2024-01-21 08:00:00,2024-01-21 08:00:00,1,0.0
02FI_1000.PV,2024-02-02 13:12:00,2024-02-02 13:12:00,1,0.0
02FI_1000.PV,2024-02-02 18:15:00,2024-02-02 18:15:00,1,0.0
02FI_1000.PV,2024-02-14 11:17:00,2024-02-14 11:17:00,1,0.0
02FI_1000.PV,2024-02-24 06:47:00,2024-02-24 06:47:00,1,0.0
02FI_1000.PV,2024-02-24 10:28:00,2024-02-24 10:28:00,1,0.0
02FI_1000.PV,2024-03-02 22:11:00,2024-03-02 22:11:00,1,0.0
02FI_1000.PV,2024-03-03 04:05:00,2024-03-03 04:05:00,1,0.0
02FI_1000.PV,2024-03-05 07:47:00,2024-03-05 07:47:00,1,0.0
02FI_1000.PV,2024-03-05 21:43:00,2024-03-05 21:43:00,1,0.0
02FI_1000.PV,2024-03-09 02:10:00,2024-03-09 02:10:00,1,0.0
02FI_1000.PV,2024-03-23 20:39:00,2024-03-23 20:39:00,1,0.0
02FI_1000.PV,2024-03-31 03:23:00,2024-03-31 03:23:00,1,0.0
02FI_1000.PV,2024-04-06 07:35:00,2024-04-06 07:35:00,1,0.0
02FI_1000.PV,2024-04-08 14:05:00,2024-04-08 14:05:00,1,0.0
02FI_1000.PV,2024-04-19 21:10:00,2024-04-19 21:10:00,1,0.0
02FI_1000.PV,2024-04-22 22:45:00,2024-04-22 22:45:00,1,0.0
02FI_1000.PV,2024-04-25 06:37:00,2024-04-25 06:37:00,1,0.0
02FI_1000.PV,2024-04-29 16:18:00,2024-04-29 16:18:00,1,0.0
02FI_1000.PV,2024-05-02 00:20:00,2024-05-02 00:20:00,1,0.0
02FI_1000.PV,2024-05-05 13:54:00,2024-05-05 13:54:00,1,0.0
02FI_1000.PV,2024-05-19 06:02:00,2024-05-19 06:02:00,1,0.0
02FI_1000.PV,2024-05-20 17:34:00,2024-05-20 17:34:00,1,0.0
02FI_1000.PV,2024-05-21 10:18:00,2024-05-21 10:18:00,1,0.0
02FI_1000.PV,2024-05-22 06:48:00,2024-05-22 06:48:00,1,0.0
02FI_1000.PV,2024-05-24 02:52:00,2024-05-24 02:52:00,1,0.0
02FI_1000.PV,2024-05-27 18:14:00,2024-05-27 18:14:00,1,0.0
02FI_1000.PV,2024-05-29 19:35:00,2024-05-29 19:35:00,1,0.0
02FI_1000.PV,2024-06-03 13:25:00,2024-06-03 13:25:00,1,0.0
02FI_1000.PV,2024-06-04 08:02:00,2024-06-04 08:02:00,1,0.0
02FI_1000.PV,2024-06-06 00:27:00,2024-06-06 00:27:00,1,0.0
02FI_1000.PV,2024-06-07 13:36:00,2024-06-07 13:36:00,1,0.0
02FI_1000.PV,2024-06-08 19:33:00,2024-06-08 19:33:00,1,0.0
02FI_1000.PV,2024-06-09 05:01:00,2024-06-09 05:01:00,1,0.0
02FI_1000.PV,2024-06-11 10:52:00,2024-06-11 10:52:00,1,0.0
02FI_1000.PV,2024-06-13 05:44:00,2024-06-13 05:44:00,1,0.0
02FI_1000.PV,2024-06-17 17:03:00,2024-06-17 17:03:00,1,0.0
02FI_1000.PV,2024-06-20 20:43:00,2024-06-20 20:43:00,1,0.0
02FI_1000.PV,2024-06-20 21:24:00,2024-06-20 21:24:00,1,0.0
02FI_1000.PV,2024-06-21 22:08:00,2024-06-21 22:08:00,1,0.0
02FI_1000.PV,2024-06-28 00:47:00,2024-06-28 00:47:00,1,0.0
02FI_1000.PV,2024-07-18 14:43:00,2024-07-18 14:43:00,1,0.0
02FI_1000.PV,2024-07-24 08:16:00,2024-07-24 08:16:00,1,0.0
02FI_1000.PV,2024-07-26 08:49:00,2024-07-26 08:49:00,1,0.0
02FI_1000.PV,2024-07-28 21:13:00,2024-07-28 21:13:00,1,0.0
02FI_1000.PV,2024-07-29 11:55:00,2024-07-29 11:55:00,1,0.0
02FI_1000.PV,2024-08-07 20:28:00,2024-08-07 20:28:00,1,0.0
02FI_1000.PV,2024-08-14 03:11:00,2024-08-14 03:11:00,1,0.0
02FI_1000.PV,2024-08-22 00:03:00,2024-08-22 00:03:00,1,0.0
02FI_1000.PV,2024-08-22 10:14:00,2024-08-22 10:14:00,1,0.0
