index,count,mean,std,min,25%,50%,75%,max
03TIC_1023.PV_roc,1561.0,0.013152061039931669,0.03614824011741019,-0.34469673333333334,-0.002072033333333323,0.011866699999999971,0.02731209999999997,0.4936885666666667
03TIC_1023.PV_mean,1561.0,20.77724188633276,0.6704523552742665,9.320111606451613,20.558574387096773,20.81559296774193,21.05821151612903,24.708788096774196
03TIC_1023.PV_std,1561.0,0.31432856082484323,0.26568101106931996,0.06734295780246746,0.1802759181292143,0.24641935352017943,0.3553600736688297,3.7358713906280374
03TIC_1145.PV_roc,1561.0,0.0028864079009182147,0.050958157272869224,-0.33690850000000006,-0.014116399999999984,0.005646500000000051,0.02352726666666657,0.6973442333333335
03TIC_1145.PV_mean,1561.0,25.747031994052517,3.6071741386933485,20.401067709677417,23.166946161290323,24.96062516129032,26.78071425806452,60.1679875483871
03TIC_1145.PV_std,1561.0,0.43277271353571795,0.43577899588550056,0.03359972062383907,0.1924014807709599,0.3104234306905876,0.5042326727291142,5.3196973503245575
03TI_1002.PV_roc,1561.0,0.011004078795643819,0.045261560120942006,-0.37610540000000015,-0.006965000000000051,0.008864333333333481,0.02722633333333325,0.9947160000000002
03TI_1002.PV_mean,1561.0,60.400199555540176,2.310666472875604,33.22048448387097,59.555814999999996,60.94093377419355,61.856073774193554,65.91890551612903
03TI_1002.PV_std,1561.0,0.3970587016151619,0.46321482518159557,0.05280745273159799,0.24843566044181195,0.3439544438815068,0.4558221470925946,12.594082811019932
03TI_1005.PV_roc,1561.0,0.010271480589365787,0.04195176098182492,-0.27775139999999987,-0.007259333333333492,0.01009999999999991,0.027459466666666543,0.773601
03TI_1005.PV_mean,1561.0,57.815839617970425,2.462353388937944,31.982551935483873,56.979267935483875,58.37194503225806,59.30004012903227,63.43424174193548
03TI_1005.PV_std,1561.0,0.4072911352012029,0.3750237212379221,0.0011944268216424866,0.26038909557608003,0.3404886885756746,0.4537213824279347,9.40000978484953
03TI_1015.PV_roc,1561.0,0.013616156124279312,0.03859961373915598,-0.3550244333333333,-0.004969033333333309,0.012699133333333279,0.029815400000000027,0.3301780766666667
03TI_1015.PV_mean,1561.0,19.09741115843698,0.5902641880643591,7.6432367161290315,18.90657970967742,19.124851903225807,19.354076612903228,21.68801609677419
03TI_1015.PV_std,1561.0,0.3875454894554389,0.29077594892753034,0.08649453788384402,0.2320058148046695,0.3218095853395131,0.43631492207592276,2.8936247340079
03TI_1024.PV_roc,1561.0,0.01546692169549434,0.04393956146764539,-0.34125949999999994,-0.003459733333333285,0.013839099999999977,0.030823466666666733,0.6850349666666666
03TI_1024.PV_mean,1561.0,19.74871328532003,0.5577411100107366,10.316615651612903,19.554664096774193,19.774273419354838,19.99159970967742,22.238219516129032
03TI_1024.PV_std,1561.0,0.3982730885155752,0.3345490268531028,0.09437082715356086,0.2412565389287818,0.3266182250226069,0.43951025564426877,5.704876053022551
03TI_1081.PV_roc,1561.0,0.011743246666666662,0.06406982503072983,-0.8486989333333333,-0.0042481999999999685,0.009440566666666683,0.02218509999999997,1.3216662666666668
03TI_1081.PV_mean,1561.0,-29.245912025775816,1.8920554163281549,-35.66919006451613,-29.819445612903227,-29.09998964516129,-28.528536000000003,12.268020385806452
03TI_1081.PV_std,1561.0,0.2989247885974996,0.6039114494517821,0.00029657493567896456,0.16106426330359902,0.22155900668924464,0.3072841240362065,14.426189228536147
03TI_1108.PV_roc,1561.0,0.012810420777279523,0.038830508676696775,-0.1792792000000001,-0.0033968666666666534,0.007925933333333291,0.02151383333333333,0.3698811333333334
03TI_1108.PV_mean,1561.0,46.796739338399306,6.42987169183086,30.475264225806452,44.04739435483871,48.08637793548386,52.35364719354838,55.45356329032257
03TI_1108.PV_std,1561.0,0.24312188748395314,0.32726898109473734,0.0004057308605252693,0.08941414760682978,0.1525546254056215,0.27292458839695855,3.8100432463507645
